id,title,issuer,dates,icon,article_id,article_title,article_content,insights,attachment_url,attachment_name,status,created_at,excel_url,excel_name,cert_doc_url,cert_doc_name
1,Equity valuation and Financial modelling,Caplexus Capital,Issued Jul 2026 – Expires Jul 2030,Award,5,Equity Valuation & Financial Modelling — Dabur India 3-Statement Model,"Completed a 3-Statement Financial Model of Dabur India, integrating the Income Statement, Balance Sheet, and Cash Flow Statement to forecast the company's financial performance.",,/uploads/Dabur_Model_1785911909880.xlsx,Dabur Model.xlsx,Verified,2026-08-05 06:34:11,/uploads/Dabur_Model_1785912552974.xlsx,Dabur Model.xlsx,,
2,Financial modelling and analysis,PwC India,Verified Credential,Award,,,,,,,Verified,2026-08-05 06:34:11,,,,
3,Microsoft Excel 2013 Certification,Great Learning,Issued Jul 2022 – Expired Jul 2022,Award,,,,,,,Verified,2026-08-05 06:34:11,,,,
4,Fundamentals accounting,National Skill Development Corporation,Issued Jun 2026,BadgeCheck,,,,,,,Verified,2026-08-05 06:34:11,,,,
5,NISM Certifications (NISM-securities market foundation certification),National Institute of Securities Markets (NISM),Issued Apr 2026 – Expires Apr 2029,BadgeCheck,,,,,,,Verified,2026-08-05 06:34:11,,,,
6,UpGrad (Financial Analysis / Working Capital Management),UpGrad,Issued Feb 2026 – Expires Mar 2028,Award,,,,,,,Verified,2026-08-05 06:34:11,,,,
7,skill india certificate for finance,Government of India,Issued Feb 2026 – Expired Jun 2026,Award,,,,,,,Verified,2026-08-05 06:34:11,,,,
